time,run_time_sec,down_time_sec,planned_cycle_ms,downstream_blocked
2026-04-24 19:17:00+00,41.465943664932894,240.16916095715416,111.86653965753827,2629.375328313461
2026-04-24 19:18:00+00,40.61249934036086,270.9947206499116,201.38437850084003,2634.5246622047507
2026-04-24 19:19:00+00,42.508960347218036,241.03117921630172,223.10353876164356,2632.8294288032575
2026-04-24 19:20:00+00,46.58373519218092,236.59300722111274,193.67732306111643,2470.1481957445158
2026-04-24 19:21:00+00,49.37296303730842,265.16517321481064,167.75945755430268,2300.418142233955
2026-04-24 19:22:00+00,42.294472396163,289.00871808687066,255.41838232058262,2229.8580452451038
2026-04-24 19:23:00+00,38.90471756692997,296.2048310013017,275.1168211076646,2328.05250128251
2026-04-24 19:24:00+00,33.30209125091042,292.86810614872616,238.1838531607576,2200.6648542326398
2026-04-24 19:25:00+00,31.45091272304208,285.65430818284347,222.1233141557753,2237.3854993946065
2026-04-24 19:26:00+00,34.807580002518435,286.2854355588923,213.63364400239448,2233.333385352051
2026-04-24 19:27:00+00,37.496706958302035,274.770107163795,172.15212938542413,2057.292745247123
2026-04-24 19:28:00+00,39.484150728764014,279.3337144644918,226.0255241595684,2109.610589257383
2026-04-24 19:32:00+00,36.79905583872577,290.89184433651747,180.78300856758545,2028.2589809556832
2026-04-24 19:33:00+00,36.51514920544146,289.22789071985585,144.92937089878595,2058.1027115910583
2026-04-24 19:34:00+00,36.63110360210487,294.48301066950637,227.60085446752132,2030.2640985705295
2026-04-24 19:35:00+00,32.164394043891704,284.863693701734,204.59422363303727,2055.785627590808
2026-04-24 19:36:00+00,31.196497480057108,280.37147323326155,173.8427244045952,2141.305013513078
2026-04-24 19:37:00+00,32.54947099056407,286.7881491110575,69.14202966082667,2185.9519161264684
2026-04-24 19:38:00+00,36.34555084230377,286.53676677887097,26.726627719645002,2361.8677774753414
2026-04-24 19:39:00+00,35.85220889827277,279.09203565971734,31.65932077046646,2280.895742471373
2026-04-24 19:40:00+00,38.579564912802496,288.5131573492912,104.021868790388,2133.7268920097267
2026-04-24 19:41:00+00,32.8683116181341,287.0245157085556,99.43793466071527,2049.0157633398303
2026-04-24 19:42:00+00,31.011969895890577,258.57062136933735,50.08505742613612,2072.1694441072427
2026-04-24 19:43:00+00,32.01707305442286,266.3602442474308,89.2858723966284,2212.9807283514283
2026-04-24 19:44:00+00,33.48624086450672,239.37728264082472,160.8289114538279,2149.036438802701
2026-04-24 19:45:00+00,32.632130850958816,240.16104462659752,185.00083191511968,2203.928577227424
2026-04-24 19:46:00+00,36.19286020226889,237.99270724475156,208.77216428242153,2198.804102919828
2026-04-24 19:47:00+00,32.0369427398484,251.73212024758323,267.69251968763626,2267.888516836952
2026-04-24 19:48:00+00,32.785544662234265,279.32378331273975,232.96945059559118,2414.6491214448697
2026-04-24 19:49:00+00,32.105182220235235,281.17587470834644,189.00949915079937,2433.964813621261
2026-04-24 19:51:00+00,31.570248107538877,276.0715544180979,209.13152118131447,2432.223455956721
2026-04-24 19:52:00+00,32.60970571587525,270.34125133151224,217.36767298761686,2453.7678646181425
2026-04-24 19:53:00+00,38.07005062383524,285.2164149918455,267.78526007307283,2491.7423665215133
2026-04-24 19:54:00+00,31.108931619942727,257.5109419846688,261.8809713457799,2502.881697255457
2026-04-24 19:55:00+00,31.79702812421355,234.17748453755112,274.0317603411653,2445.73200185265
2026-04-24 19:56:00+00,36.20176077908556,235.08988545147307,268.6930392115497,2358.9134252478007
2026-04-24 19:57:00+00,32.80249746897046,254.00898423450005,244.66387571359974,2320.563347075239
2026-04-24 19:58:00+00,43.25939588683815,274.7334886516625,161.14457187371045,2654.2788342212143
2026-04-24 19:59:00+00,43.506393875216254,241.0885137129623,134.46524304188043,2702.4599082326004
2026-04-24 20:00:00+00,52.468406681614084,231.0730137583265,162.11228546135,2649.202912678381
2026-04-24 20:01:00+00,54.978162899857296,222.1241764568968,213.6790580377327,2647.636058461089
2026-04-24 20:02:00+00,54.68580601639572,224.65254490490145,240.90612162426396,2551.2595559551305
2026-04-24 20:03:00+00,57.620199598895006,223.56387514166315,224.71646336884618,2501.3047903794786
2026-04-24 20:04:00+00,53.95188519987604,215.24688767913693,174.00638169899477,2538.7966199937355
2026-04-24 20:05:00+00,55.037371110396094,260.51048601787943,271.18519327205365,2608.601517219364
2026-04-24 20:06:00+00,53.44425190956399,252.63126175712082,284.43771100562105,2794.358628505706
2026-04-24 20:07:00+00,55.91940171770973,244.2100833737191,231.703663229964,2780.7485802883534
2026-04-24 20:08:00+00,58.86804185240217,259.9333133439312,246.82974749821537,2687.866534000154
2026-04-24 20:09:00+00,64.27154775751423,275.05699903532286,245.07915088221924,2782.7168531395782
2026-04-24 20:10:00+00,76.49692823950735,259.5612341920989,242.7672044887222,2749.9517639355054
2026-04-24 20:11:00+00,69.25356551337053,262.1544070173347,269.1669463035301,2713.4517964501347
2026-04-24 20:12:00+00,66.21341783693025,222.40484636730147,229.3070847967631,2705.172820534689
2026-04-24 20:13:00+00,64.369313091388,206.92729620691404,216.67974089581526,2737.1380295236922
2026-04-24 20:22:00+00,61.59229954270876,241.99365404689382,206.42249157885172,2828.805031969858
2026-04-24 20:23:00+00,64.2732289887113,290.6345116563007,251.12429342436337,2746.3652430842126
2026-04-24 20:24:00+00,61.37791540170845,268.7923755886288,285.4547756357208,2891.8391209920765
2026-04-24 20:25:00+00,49.874009761366004,288.0687739280091,216.71035169223913,2788.6829750301704
2026-04-24 20:26:00+00,47.09057993906499,267.34035795177306,270.50490398923716,2578.2509217981183
2026-04-24 20:27:00+00,49.50149523409125,242.25581761896788,283.7322758880893,2449.643519125128
2026-04-24 20:28:00+00,50.97094973091013,211.89946928555483,255.73453527431948,2450.110974332578
2026-04-24 20:29:00+00,51.76397030705229,215.4985148568552,223.710208585862,2383.7944622170717
2026-04-24 20:30:00+00,43.01774832903598,231.89642722147258,155.4604289673577,2337.936768142912
2026-04-24 20:31:00+00,42.3840497264222,223.9444649844365,194.1944050192267,2410.7157038874016
2026-04-24 20:32:00+00,41.748310230653395,242.43771673903305,189.608357781556,2279.9770931756716
2026-04-24 20:33:00+00,39.553124820003575,241.4854582602272,151.08439820331927,2373.192800091037
2026-04-24 20:34:00+00,33.64965893532568,249.95155716199548,123.0587553674151,2414.468209675192
2026-04-24 20:35:00+00,33.983678164834004,288.1769408694111,67.76144792586007,2287.902597541034
2026-04-24 20:36:00+00,39.84042472913836,280.0502562558707,55.785786936309655,2303.3774378320477
2026-04-24 20:37:00+00,40.503377687246314,274.53853059607945,46.3900588002004,2415.033933551973
2026-04-24 20:38:00+00,40.16359050299557,283.39577828783007,30.1216349610093,2405.737685476353
2026-04-24 20:39:00+00,39.573244241239856,277.61781211475113,18.620443645623467,2341.671986818407
2026-04-24 20:41:00+00,44.66705303748465,274.99061421036856,22.05435506990822,2182.4782297122397
2026-04-24 20:42:00+00,45.5079733797135,291.4521136853113,15.38621938388069,2140.1097940253344
2026-04-24 20:43:00+00,52.32443882813503,294.347970933108,32.176069132469294,2150.305139317818
2026-04-24 20:44:00+00,54.77555406444249,274.93774546799375,23.596520209343712,2311.1119915186437
2026-04-24 20:45:00+00,58.587979223180376,241.09628763490159,54.738753445225164,2262.980538840565
2026-04-24 20:46:00+00,54.92034982474116,250.44218476019475,111.94800853210624,2043.6448959759832
2026-04-24 20:47:00+00,58.31297493144719,279.66436891503565,216.24645203436137,2074.2711686647513
2026-04-24 20:48:00+00,61.28657978269395,275.1661482349616,282.5871205800463,2081.0119704386566
2026-04-24 20:49:00+00,64.67819725880177,236.7099965759403,272.54935632347514,2203.531593704706
2026-04-24 20:50:00+00,67.75442393474026,222.84418932551924,217.76859539509928,2199.694478653676
2026-04-24 20:51:00+00,68.30153632485498,253.67303921195816,92.13568842027071,2180.7295793609715
2026-04-24 20:52:00+00,65.52304105647433,235.40399733088287,84.16147288836555,2263.1531535294216
2026-04-24 20:53:00+00,69.02203480791616,227.3378255712018,123.87536563596859,2348.7936970821575
2026-04-24 20:57:00+00,63.26442000262142,209.95434549058152,93.6460700405904,2399.279682057295
2026-04-24 20:58:00+00,63.51799532705987,214.28756002253826,99.43450294210932,2409.005495577375
2026-04-24 20:59:00+00,64.11318589192865,224.1286908740273,79.15747255161509,2532.5109807408608
2026-04-24 21:00:00+00,60.115595439707384,227.68337932032213,65.6410716620925,2594.9502351451442
2026-04-24 21:01:00+00,48.45156293097226,239.79080865079519,45.258268419957844,2279.432416442793
2026-04-24 21:02:00+00,44.85356703934022,220.24988261000635,136.9544136261767,2212.07756494267
2026-04-24 21:03:00+00,46.44555196961711,213.4436201251062,221.9081649541043,2266.786631930421
2026-04-24 21:04:00+00,44.525110125717504,230.94304052413278,266.84209399114104,2297.352421159547
2026-04-24 21:05:00+00,51.540438840649664,260.8505603467146,276.1635225153645,2159.613340182952
2026-04-24 21:06:00+00,46.89961204395446,255.9096358637527,260.4343327418382,2054.903176530769
2026-04-24 21:07:00+00,42.37635900975257,256.4732019416752,253.07372818238912,2059.6939332677193
2026-04-24 21:08:00+00,41.75572744255483,241.05070945491713,182.89136278074844,2054.7786981393733
2026-04-24 21:09:00+00,41.968732239965206,222.05245147048083,171.84896277285395,2023.3387297828235
2026-04-24 21:10:00+00,47.48908658404171,226.07523752498568,167.7379425675753,2057.3107664108547
2026-04-24 21:11:00+00,48.81964991129897,220.69082140210125,97.15626601228732,2056.5473264624497
2026-04-24 21:12:00+00,49.82423649695001,212.3277879522675,129.07627428293927,2068.622729129018
2026-04-24 21:13:00+00,53.58878290919703,226.27008064373672,183.2002216062729,2160.8231974066152
2026-04-24 21:14:00+00,58.96570331550789,203.5679897564823,216.4011017923787,2323.792297860205
2026-04-24 21:15:00+00,56.48088475938576,207.80208085624696,239.45951294798178,2350.443003528382
2026-04-24 21:16:00+00,48.207546168757,206.27965160475873,251.4930017296476,2575.7299189748255
2026-04-24 21:17:00+00,50.06376766085315,219.59314767461296,281.2086416099666,2717.703951337666
