time,solar_irradiance,temperature_c,humidity_pct,cloud_cover_pct,wind_speed_kmh,pressure_hpa
2026-04-24 19:30:00+00,1.8333333333333328,11.539130434782612,68.81159420289855,48.028985507246375,5.7492753623188415,1010.7942028985506
2026-04-24 19:35:00+00,2.122,11.491999999999997,68.77,48.692,4.666000000000002,1010.7120000000002
2026-04-24 19:40:00+00,2.3849999999999993,11.569999999999999,70.25,52.959,4.044999999999999,1010.664
2026-04-24 19:45:00+00,2.245,11.573,65.83,38.09,4.373000000000002,1010.5050000000001
2026-04-24 19:50:00+00,1.2589999999999997,11.632000000000005,64.74,35.14300000000001,5.547,1010.5009999999997
2026-04-24 19:55:00+00,2.1319999999999997,11.631000000000002,70.7,55.297999999999995,7.499,1010.4999999999999
2026-04-24 20:00:00+00,1.3790000000000004,9.977999999999998,66.75,38.86200000000001,9.446000000000002,1010.3740000000001
2026-04-24 20:05:00+00,1.9489999999999998,9.999,67.71,42.09999999999998,10.838000000000005,1010.3119999999998
2026-04-24 20:10:00+00,2.6699999999999995,10.005999999999997,70.33,51.53199999999999,11.730000000000008,1010.2610000000005
2026-04-24 20:15:00+00,1.235,9.999000000000002,69.89,48.961999999999996,11.929,1010.222
2026-04-24 20:20:00+00,1.423,10.047000000000002,71.13,53.44200000000001,10.662000000000003,1010.1670000000001
2026-04-24 20:25:00+00,1.8189999999999997,10.02,70.45,50.757,9.152999999999999,1010.1220000000001
2026-04-24 20:30:00+00,2.2840000000000003,9.956000000000003,71.68,54.92700000000001,7.247000000000001,1010.1029999999997
2026-04-24 20:35:00+00,2.315,10.018,68.53,45.272000000000006,5.604999999999998,1010.0199999999998
2026-04-24 20:40:00+00,1.8129999999999997,9.977999999999998,72.7,58.665000000000006,4.129000000000001,1010.0340000000002
2026-04-24 20:45:00+00,1.9839999999999998,10.011999999999997,68.96,46.70199999999999,3.955000000000001,1010.0109999999997
2026-04-24 20:50:00+00,1.7440000000000004,9.981,66.66,38.636999999999986,4.538,1009.993
2026-04-24 20:55:00+00,2.325,9.938999999999998,70.38,50.97199999999999,6.395,1010.0499999999998
2026-04-24 21:00:00+00,2.53,8.437000000000001,70.35,48.22400000000002,8.232,1009.9859999999999
2026-04-24 21:05:00+00,1.702,8.405,70.77,50.14900000000001,10.119999999999997,1010.039
2026-04-24 21:10:00+00,2.256,8.44,72.07,53.767999999999994,11.193000000000001,1010.0420000000001
2026-04-24 21:15:00+00,2.0010101010101007,8.419191919191917,70.97979797979798,50.538383838383844,12.2010101010101,1010.0656565656566
2026-04-24 21:20:00+00,2.34950495049505,8.397029702970293,67.51485148514851,38.9079207920792,11.670297029702969,1009.9930693069305
2026-04-24 21:25:00+00,1.3289999999999997,8.469000000000001,72.52,56.047999999999995,10.372,1010.096
2026-04-24 21:30:00+00,2.246,8.483,67.72,39.61600000000001,8.061999999999998,1010.1089999999999
2026-04-24 21:35:00+00,1.3969999999999998,8.402999999999999,74.35,61.033,6.450999999999999,1010.1339999999999
2026-04-24 21:40:00+00,2.149,8.421000000000001,73.64,59.524000000000015,4.637,1010.229
2026-04-24 21:45:00+00,1.707070707070707,8.420202020202021,68.20202020202021,41.62323232323233,4.262626262626262,1010.2232323232322
2026-04-24 21:50:00+00,1.7779999999999998,8.495,71.65,52.67000000000001,4.260999999999999,1010.2760000000002
2026-04-24 21:55:00+00,2.16039603960396,8.433663366336633,73.96039603960396,59.511881188118835,5.398019801980198,1010.2584158415842
2026-04-24 22:00:00+00,1.83,2.6439999999999997,71.57,42.873000000000005,7.1220000000000026,1010.3380000000001
2026-04-24 22:05:00+00,1.6769999999999998,2.6540000000000004,74.29,50.62500000000001,9.3,1010.449
2026-04-24 22:10:00+00,1.838,2.6489999999999996,76.49,59.32500000000001,10.901000000000002,1010.5149999999999
2026-04-24 22:15:00+00,1.882,2.59,75.37,55.42700000000001,11.65,1010.55
2026-04-24 22:20:00+00,2.218,2.539,74.11,49.745,11.916000000000002,1010.6639999999996
2026-04-24 22:25:00+00,1.9343434343434343,2.615151515151515,75.5959595959596,55.03838383838383,10.938383838383844,1010.7171717171716
2026-04-24 22:30:00+00,1.8722772277227726,2.6673267326732675,74.48514851485149,53.21980198019802,9.291089108910892,1010.8504950495051
2026-04-24 22:35:00+00,2.043,2.5980000000000003,74.31,51.913999999999994,7.5619999999999985,1010.947
2026-04-24 22:40:00+00,1.1670000000000003,2.557,77.85,63.803000000000004,5.609,1010.995
2026-04-24 22:45:00+00,1.8393939393939394,2.5727272727272728,78.51515151515152,65.52929292929294,4.377777777777776,1011.0060606060607
2026-04-24 22:50:00+00,1.7574257425742574,2.597029702970297,73.93069306930693,50.04356435643564,4.054455445544554,1011.2099009900991
2026-04-24 22:55:00+00,1.1979999999999997,2.6329999999999996,78.17,64.76599999999999,4.605,1011.2779999999999
2026-04-24 23:00:00+00,2.0189999999999997,3.2680000000000007,76.1,59.23700000000001,5.930999999999999,1011.398
2026-04-24 23:05:00+00,2.4150000000000005,3.36,73.23,49.318000000000005,8.140999999999998,1011.5
2026-04-24 23:10:00+00,1.4109999999999996,3.362,72.3,46.461000000000006,9.982000000000001,1011.6260000000001
2026-04-24 23:15:00+00,2.353,3.335999999999999,71.91,44.897999999999996,11.558,1011.7510000000001
2026-04-24 23:20:00+00,2.259,3.3919999999999995,70.96,42.62799999999999,11.841000000000001,1011.8620000000001
2026-04-24 23:25:00+00,1.957,3.378999999999999,70.46,40.092000000000006,11.616000000000003,1011.9650000000001
2026-04-24 23:30:00+00,1.476,3.363,75.12,55.65999999999999,10.475000000000001,1012.0290000000002
2026-04-24 23:35:00+00,1.8259999999999998,3.416999999999999,77.14,62.176,8.571000000000002,1012.18
2026-04-24 23:40:00+00,2.0500000000000003,3.2479999999999967,74.18,53.162999999999975,6.362999999999999,1012.3339999999998
2026-04-24 23:45:00+00,1.507,3.3499999999999988,70.79,41.30000000000001,4.945999999999999,1012.4169999999997
2026-04-24 23:50:00+00,1.7494949494949485,3.3010101010101027,75.53535353535354,57.55757575757575,4.097979797979801,1012.541414141414
2026-04-24 23:55:00+00,1.5633663366336636,3.416831683168315,73.24752475247524,49.765346534653496,4.485148514851486,1012.7039603960391
2026-04-25 00:00:00+00,1.9350000000000012,4.300000000000001,70.78,43.055999999999976,5.254999999999999,1012.7769999999999
